sector_name_vi,growth_rate_2024_pct,productivity_million_VND_per_worker,spillover_coef_0_1,export_billion_USD,labor_million,ai_readiness_0_100,automation_risk_pct
Nong-Lam-Thuy san,3.27,103.4,0.35,40.5,13.20,15,18
CN che bien che tao,9.64,241.2,0.78,290.9,11.50,55,42
Xay dung,7.45,168.8,0.42,2.5,4.80,20,25
Khai khoang,-1.20,1290.5,0.30,8.2,0.30,30,55
Ban buon-ban le,7.10,145.3,0.55,5.5,7.80,48,38
Tai chinh-Ngan hang,7.36,1072.4,0.85,1.2,0.55,72,52
Logistics-Van tai,9.93,321.4,0.72,3.1,1.95,42,35
CNTT-Truyen thong,7.85,713.8,0.92,178.0,0.62,88,28
Giao duc-Dao tao,6.42,205.7,0.65,0.0,2.15,38,22
Y te,6.85,437.1,0.60,0.0,0.75,45,18
