ai_weight,sector_name_vi,rank
0.05,CN che bien che tao,1
0.05,Tai chinh-Ngan hang,2
0.05,CNTT-Truyen thong,3
0.05,Logistics-Van tai,4
0.05,Ban buon-ban le,5
0.05,Khai khoang,6
0.05,Giao duc-Dao tao,7
0.05,Y te,8
0.05,Xay dung,9
0.05,Nong-Lam-Thuy san,10
0.1,CN che bien che tao,1
0.1,CNTT-Truyen thong,2
0.1,Tai chinh-Ngan hang,3
0.1,Logistics-Van tai,4
0.1,Ban buon-ban le,5
0.1,Khai khoang,6
0.1,Y te,7
0.1,Giao duc-Dao tao,8
0.1,Xay dung,9
0.1,Nong-Lam-Thuy san,10
0.15,CN che bien che tao,1
0.15,CNTT-Truyen thong,2
0.15,Tai chinh-Ngan hang,3
0.15,Logistics-Van tai,4
0.15,Ban buon-ban le,5
0.15,Khai khoang,6
0.15,Y te,7
0.15,Giao duc-Dao tao,8
0.15,Xay dung,9
0.15,Nong-Lam-Thuy san,10
0.2,CN che bien che tao,1
0.2,CNTT-Truyen thong,2
0.2,Tai chinh-Ngan hang,3
0.2,Logistics-Van tai,4
0.2,Ban buon-ban le,5
0.2,Khai khoang,6
0.2,Y te,7
0.2,Giao duc-Dao tao,8
0.2,Xay dung,9
0.2,Nong-Lam-Thuy san,10
0.25,CN che bien che tao,1
0.25,CNTT-Truyen thong,2
0.25,Tai chinh-Ngan hang,3
0.25,Logistics-Van tai,4
0.25,Ban buon-ban le,5
0.25,Khai khoang,6
0.25,Y te,7
0.25,Giao duc-Dao tao,8
0.25,Xay dung,9
0.25,Nong-Lam-Thuy san,10
0.3,CNTT-Truyen thong,1
0.3,CN che bien che tao,2
0.3,Tai chinh-Ngan hang,3
0.3,Logistics-Van tai,4
0.3,Ban buon-ban le,5
0.3,Y te,6
0.3,Khai khoang,7
0.3,Giao duc-Dao tao,8
0.3,Xay dung,9
0.3,Nong-Lam-Thuy san,10
0.35,CNTT-Truyen thong,1
0.35,CN che bien che tao,2
0.35,Tai chinh-Ngan hang,3
0.35,Logistics-Van tai,4
0.35,Ban buon-ban le,5
0.35,Y te,6
0.35,Khai khoang,7
0.35,Giao duc-Dao tao,8
0.35,Xay dung,9
0.35,Nong-Lam-Thuy san,10
0.4,CNTT-Truyen thong,1
0.4,CN che bien che tao,2
0.4,Tai chinh-Ngan hang,3
0.4,Logistics-Van tai,4
0.4,Ban buon-ban le,5
0.4,Y te,6
0.4,Khai khoang,7
0.4,Giao duc-Dao tao,8
0.4,Xay dung,9
0.4,Nong-Lam-Thuy san,10
