sector_name_vi,growth_rate_2024_pct,productivity_million_VND_per_worker,spillover_coef_0_1,export_billion_USD,labor_million,ai_readiness_0_100,automation_risk_score
Nong-Lam-Thuy san,0.40161725067385445,0.0,0.08064516129032255,0.13922310072189756,1.0,0.0,1.0
CN che bien che tao,0.9739442946990118,0.11608120630106983,0.7741935483870968,1.0,0.8682170542635659,0.547945205479452,0.35135135135135137
Xay dung,0.7771787960467207,0.055092241597169585,0.19354838709677416,0.008594018563080097,0.34883720930232565,0.0684931506849315,0.8108108108108109
Khai khoang,0.0,1.0,0.0,0.028188380886902717,0.0,0.2054794520547945,0.0
Ban buon-ban le,0.7457322551662174,0.035296099738859416,0.40322580645161293,0.018906840838776213,0.5813953488372093,0.4520547945205479,0.4594594594594595
Tai chinh-Ngan hang,0.7690925426774484,0.8162749557745769,0.8870967741935483,0.004125128910278446,0.019379844961240317,0.7808219178082192,0.08108108108108109
Logistics-Van tai,1.0,0.18364080532389856,0.6774193548387095,0.010656583018219321,0.12790697674418605,0.3698630136986301,0.5405405405405406
CNTT-Truyen thong,0.8131176999101527,0.5141942549069161,1.0,0.6118941216913029,0.0248062015503876,1.0,0.7297297297297297
Giao duc-Dao tao,0.6846361185983828,0.08617639625979276,0.564516129032258,0.0,0.1434108527131783,0.3150684931506849,0.8918918918918919
Y te,0.7232704402515723,0.28110521438800445,0.4838709677419354,0.0,0.034883720930232565,0.410958904109589,1.0
