ai_weight,rank,region_code,region_name_vi,TOPSIS_score
0.1,1,SE,Dong Nam Bo,0.9305634866421263
0.1,2,RRD,Dong bang song Hong,0.9054767959925999
0.1,3,NCC,Bac Trung Bo va DH Trung Bo,0.3509332055869318
0.1,4,MD,Dong bang song Cuu Long,0.1570940148063214
0.1,5,NMM,Trung du mien nui phia Bac,0.10725911831744522
0.1,6,CH,Tay Nguyen,0.03606541080960301
0.15,1,SE,Dong Nam Bo,0.9350985589348095
0.15,2,RRD,Dong bang song Hong,0.901861289701912
0.15,3,NCC,Bac Trung Bo va DH Trung Bo,0.3552243774649881
0.15,4,MD,Dong bang song Cuu Long,0.16397426626294692
0.15,5,NMM,Trung du mien nui phia Bac,0.10344282088478536
0.15,6,CH,Tay Nguyen,0.033782618149930624
0.2,1,SE,Dong Nam Bo,0.9401516970335646
0.2,2,RRD,Dong bang song Hong,0.8981332243464238
0.2,3,NCC,Bac Trung Bo va DH Trung Bo,0.3597195549320712
0.2,4,MD,Dong bang song Cuu Long,0.1710379613082555
0.2,5,NMM,Trung du mien nui phia Bac,0.09928628933181607
0.2,6,CH,Tay Nguyen,0.031216208412754208
0.25,1,SE,Dong Nam Bo,0.9451690446919514
0.25,2,RRD,Dong bang song Hong,0.894738013334245
0.25,3,NCC,Bac Trung Bo va DH Trung Bo,0.36386935916011204
0.25,4,MD,Dong bang song Cuu Long,0.17745150115312644
0.25,5,NMM,Trung du mien nui phia Bac,0.09528666433731417
0.25,6,CH,Tay Nguyen,0.028646816552367338
0.3,1,SE,Dong Nam Bo,0.9498488404111662
0.3,2,RRD,Dong bang song Hong,0.8918432123363829
0.3,3,NCC,Bac Trung Bo va DH Trung Bo,0.3674454742904489
0.3,4,MD,Dong bang song Cuu Long,0.18291002909205986
0.3,5,NMM,Trung du mien nui phia Bac,0.09169852790294937
0.3,6,CH,Tay Nguyen,0.026233755567769163
0.35,1,SE,Dong Nam Bo,0.9540694429286599
0.35,2,RRD,Dong bang song Hong,0.8894566091174443
0.35,3,NCC,Bac Trung Bo va DH Trung Bo,0.3704176239886795
0.35,4,MD,Dong bang song Cuu Long,0.18740629627066063
0.35,5,NMM,Trung du mien nui phia Bac,0.08860437778177553
0.35,6,CH,Tay Nguyen,0.02404575667296619
0.4,1,SE,Dong Nam Bo,0.9578115206847124
0.4,2,RRD,Dong bang song Hong,0.8875183188448775
0.4,3,NCC,Bac Trung Bo va DH Trung Bo,0.37284603040734904
0.4,4,MD,Dong bang song Cuu Long,0.19105675604220002
0.4,5,NMM,Trung du mien nui phia Bac,0.08599234510101371
0.4,6,CH,Tay Nguyen,0.02209797591151596
