year,K,D,AI,H,A,Y,C,I_K,I_D,I_AI,I_H
2026,27500.0,20.3,86.0,30.0,34.913621,13309.138093097348,10114.944950753985,106.47310474477882,1490.6234664269027,1490.6234664269027,106.47310474477881
2027,26231.47310474478,32.770234664269026,147.63117332134513,29.825892418979112,35.092684799413135,14421.123750507708,10960.054050385857,115.36899000406164,1615.165860056863,1615.165860056863,115.36899000406167
2028,25035.2684395116,44.989465105125376,206.24479032598651,29.690850530615776,35.3264797676925,15150.787052112224,11514.59815960529,121.20629641689779,1696.888149836569,1696.888149836569,121.20629641689791
2029,23904.711313952917,56.55961079087602,260.152479268917,29.581858705671053,35.6120276693111,15674.879122677603,11912.908133234978,1224.8277640045758,1224.8277640045758,1224.827764004575,87.48769742889827
2030,23934.303512259845,62.020735136016654,282.3709955788082,29.340172321273222,35.92119878867551,16059.671192127382,12205.350106016811,1386.6916292627916,1160.6652834316933,1207.914771325887,99.04940209019944
2031,24124.27996590964,66.18489975401158,300.4110848082813,29.149566483208556,36.25022803770597,16428.782418724884,12485.874638230913,1651.6418517883105,1093.2678714208964,1080.0236392998856,117.97441798487938
2032,24569.70781940247,69.17539049773916,309.35060405203336,29.0384728254839,36.59184339739158,16792.794400487473,12762.52374437048,1621.9090948124351,1165.602976779239,1126.9079348958599,115.85064962945967
2033,24963.13152324478,72.53037340580285,319.29341018902136,28.92110596749206,36.947465751834955,17164.56725096465,13045.071110733134,1548.5542406572795,1269.6585258253533,1190.6723565590771,110.61101718980576
2034,25263.52918773982,76.52331385536004,330.933016488622,28.78512791690144,37.31937025434377,17543.8526290342,13333.327998065994,1585.63932636443,1312.3829280718953,1199.2424246487085,113.2599518831736
2035,25585.99205471726,80.46434547343578,341.25518524776413,28.662465166096105,37.70695179356061,17928.67067685875,13625.789714412651,1506.008336856135,1075.720240611525,860.57619248922,860.57619248922
