year,K,D,AI,H,A,Y,C,I_K,I_D,I_AI,I_H
2026,27500.0,20.3,86.0,30.0,34.913621,13309.138093097348,10114.944950753985,106.47310474477882,1490.6234664269027,1490.6234664269027,106.47310474477881
2027,26231.47310474478,32.770234664269026,147.63117332134513,29.825892418979112,35.092684799413135,14421.123750507708,10960.054050385857,115.36899000406164,1615.165860056863,1615.165860056863,115.36899000406167
2028,25035.2684395116,44.989465105125376,206.24479032598651,29.690850530615776,35.3264797676925,13938.724087943247,10593.430306836868,111.50979270354595,1561.1370978496434,1561.1370978496434,111.50979270354608
2029,23895.014810239565,55.20210027100676,253.3649266695707,29.543072690817645,35.60573857354745,15597.531332656312,11854.123812818798,1218.7838436680283,1218.7838436680283,1218.7838436680279,87.0559888334306
2030,23919.047913395614,60.765686675166236,276.2993798525365,29.300435192335016,35.90913420333063,15988.772294668453,12151.466943948024,1380.5697786685869,1155.5412751048914,1202.582169899194,98.61212704775625
2031,24103.66529639442,65.02921702519521,294.9835813696157,29.10887499667934,36.23285156994365,16361.897769911284,12435.042305132576,1644.9177086103718,1088.816973248684,1075.6266608760538,117.49412204359804
2032,24543.399740185072,68.11388071465862,304.51737720797604,28.996673984920147,36.56958631979487,16727.948729253912,12713.241034232973,1615.6460642872787,1161.1019803626514,1122.5563600647747,115.40329030623421
2033,24931.875817463093,71.5512348325261,314.9675886300184,28.878353666446678,36.92069175784376,17101.306816237735,12996.99318034068,1542.8470059201682,1264.9791681040608,1186.2841043071005,110.20335756572639
2034,25228.129032510104,75.61487833366358,327.03665555087065,28.741600023380652,37.288379147567504,17481.836650629855,13286.19585447869,1580.0342305909876,1307.7437696700033,1195.0032079908174,112.85958789935627
2035,25546.756811475585,79.61853063032399,337.7313176177809,28.618206374510464,37.6719986559064,17867.296321072434,13579.14520401505,1500.8528909700842,1072.037779264346,857.6302234114769,857.6302234114769
